ID;PRODUTO;CATEGORIA;VOLUME;PRECO_TABELA_VAREJO;STATUS_ESTOQUE;PRECO_PROMOCIONAL
en-3;Energético Monster Energy Ultra White;Energético & Ice;473ml;9,90;DISPONIVEL;
en-4;Energético Red Bull Energy Drink;Energético & Ice;250ml;9,49;DISPONIVEL;
en-5;Energético Red Bull Sugarfree;Energético & Ice;250ml;9,49;DISPONIVEL;
en-6;Energético Red Bull Tropical Edition;Energético & Ice;250ml;11,49;DISPONIVEL;
en-7;Energético Red Bull Melancia Red Edition;Energético & Ice;250ml;11,49;DISPONIVEL;
xr-1;Xarope Monin Grenadine (Romã);Xarope & Outros;700ml;49,90;DISPONIVEL;
xr-2;Xarope Monin Blue Curaçao;Xarope & Outros;700ml;49,90;DISPONIVEL;
xr-3;Xarope Monin Maçã Verde;Xarope & Outros;700ml;49,90;DISPONIVEL;
xr-4;Xarope Monin Morango;Xarope & Outros;700ml;49,90;DISPONIVEL;
xr-5;Xarope Formula Sabores Diversos;Xarope & Outros;750ml;39,90;DISPONIVEL;
